path	sha256	status	contract_disposition
database/migrations/0001_core_learning_platform.sql	cbbebb5e384f90f6f3370bde64960a466b3e4df0503771764ee1df867ffeef5c	quarantined	ADR-001 preserve; never replay from Phase 0 harness
supabase/migrations/20260704000100_trust_foundation.sql	5fdaa0fd1886335bef0d7193900e88f4572ed77d1ea8e3518ceec802c0d518e4	active	ADR-002 trust-foundation forward wave
supabase/migrations/20260704000200_identity_platform.sql	ea3f62dbf6296246a152e92d9f187572372c32c27ab24f1044872b223538b1f1	active	ADR-003 identity and RBAC implementation
supabase/migrations/20260706000100_learning_domain.sql	99766ce89a621a33f350297b5612f0aa09773f21b4f10ee4549d9c69c30f74b7	active	ADR-004 learning-domain canonical reconciliation wave
supabase/migrations/20260706000200_learning_delivery.sql	23e8d0d0e61298628a0f1af2ce6db71d82eef8f93e8f8bce421ba6f07be55cb3	active	ADR-005 controlled learning delivery and encrypted learner notes
supabase/migrations/20260706000300_assessment_engine.sql	32b6485d5012b64e047090d0715691a8c719b0d55f6ac24785bf55aece0f0bf5	active	ADR-006 canonical assessment engine and controlled learner delivery
supabase/migrations/20260706000400_certificate_engine.sql	d102f53021fb37603de5682b1af082cb091dcae31270de6b3b2c3ee0cc0ab55e	active	ADR-007 canonical certificate lifecycle and public verification
supabase/migrations/20260706000500_mentor_workspace.sql	e40a11ca683395d15b5a1705624b6d20930f9feb5b20c7568357eb2d0ffff88e	active	ADR-008 mentor workspace assigned-cohort authorization
supabase/migrations/20260706000600_admin_workspace.sql	8f6eb553384eae371b5c59a2f2c5471cdbcfa02e5ef1bec06fdc4e233271abdd	active	ADR-009 admin workspace operational extensions
supabase/migrations/20260706000700_course_authoring_cms.sql	747b057a6df551f0499f541963f9bb9650dc149c5b1d41a2c88a3b40e3077ef9	active	ADR-010 course authoring CMS and publishing workflow
supabase/migrations/20260706000800_question_authoring_cms.sql	fe319776ca23cec0c47dbce486297b4f061084756f3d12c603391f790584e975	active	ADR-011 question bank and assessment authoring CMS
supabase/migrations/20260706000900_enterprise_reporting.sql	3a43d8621ebc947ab6de3b84f86ea6b0ce864323dcd006c8fdc65aaed660610a	active	ADR-012 enterprise analytics and reporting platform
supabase/migrations/20260706001000_assignment_grading_platform.sql	7d80a19878acf51db52dccc97a2a6fe853707108ff0604c1fa0dfb5ea10cb057	active	ADR-013 assignment grading and rubric platform
supabase/migrations/20260706001100_notification_platform.sql	2ec0f1ac4d361f0f1cdeb63a59eac20b788ff719cf66ac320da32333818e99c9	active	ADR-014 enterprise notification and communication platform
supabase/migrations/20260706001200_governance_compliance_platform.sql	bf51cc1fb70ff491dff02a91fb960f5a8bfb0773922ea421df675d114268f4bf	active	ADR-015 enterprise governance and compliance platform
